subject,courseNumber,courseTitle,description
ARC,035,INTRMDIATE ALGEBRA WRKSHOP-IAW,"For college use only Section information text: ARC 35 will not accept enrollment after the Wednesday of week 1 since the workshop is only 7 weeks.
Final exam takes place on the Saturday after the 7th week of the program."
ARC,072,CHEM SPLMNTL INST - CNAS,For college use only
ARC,073,MATH SPLMNTL INST - CNAS,For college use only
ARC,075,PHYS- SPLMNTL INST - CNAS,For college use only
ARC,078,BIOL SPLMNTL INST - CNAS,For college use only
ARC,080,COE: LEARNING CENTER WORKSHOP,For college use only
ANTH,001,CULTURAL ANTHROPOLOGY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Explores the basic contributions of anthropology to the understanding of human behavior and culture and the explanation of similarities and differences among human societies. Addresses the relevance of materials drawn from tribal and peasant culture to problems of the modern world. Stresses the application of anthropological methods to research problems.     Credit is awarded for one of the following  ANTH 001,  ANTH 001H, or ANTH 001W."
ANTH,002,BIOLOGICAL ANTHROPOLOGY,"5 Units, Lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. A survey of past and contemporary human variation and evolution considered from the perspective of the fossil record, inferences from nonhuman primate biology and social behavior, and the forces of evolution."
ANTH,005,INTRODUCTION TO ARCHAEOLOGY,"5 Units, Lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. A general introduction to the aims and methods of archaeology, in the field and in the laboratory. Briefly surveys world prehistory as revealed by these methods."
ANTH,007S,INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,"5 Units, Lecture, 3 hours; discussion, 1 hour; research, 3 hours. Prerequisite(s): none. Introduces linguistic anthropological understanding of how language not only reflects but also refracts and shapes our social, political, cultural, and moral realities, values, and interests. Examines linguistic anthropological theories, ethnographies, and methodologies to explore how, to what extent, and why language is unexpectedly cultural, social, and political.     Credit is awarded for one of the following ANTH 007S or ANTH 007."
ANTH,104,BIOARCHAEOLOGY,"4 Units, Lecture, 2 hours; practicum, 3 hours; research, 3 hours. Prerequisite(s): ANTH 002 with a grade of ""C-"" or better. Introduces the study of bioarchaeology in order to explore human skeletal remains from archaeological settings. Topics include the history and ethics of studying human remains, mortuary archaeology, methodological shifts in skeletal research, and interpretation of human skeletons using various methods."
ANTH,115S,ARCHAEOLOGY OF WESTERN MESOAMERICA,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): ANTH 003 or ANTH 005 or consent of instructor. An introduction to the archaeology and culture history in the New World nuclear area of Western Mesoamerica from the occupation of this area before 10,000 years ago to the arrival of Spanish Europeans in A.D. 1519."
ANTH,123,LINGUISTIC ANTHROPOLOGY,"4 Units, Lecture, 3 hours; consultation, 1 hour. Prerequisite(s): LING 020, or consent of the instructor. Course will cover the application of linguistics techniques to studies of other symbolic and social fields, the analysis of semantic systems, and the use of linguistic techniques for prehistory."
